IGC,69.30,278.20
ILR,8.50,4.68
INK,68.41,226.23
IPM,-27.20,250.58
IQA,63.75,291.48
IRT,52.17,104.45
ISK,41.07,29.06
ISL,53.86,265.34
IVA,68.56,27.29
IZN,40.50,29.73
JAI,26.92,75.80
JAN,70.90,351.30
JAX,30.35,278.40
JCK,66.40,16.98
JCO,70.36,211.20
JRS,0.00,281.70
JYP,2.51,140.70
KAG,31.48,130.72
KAK,36.23,140.18
KAR,59.21,5.24
KAT,-33.68,117.62
KAU,69.02,23.05
KAV,70.14,216.35
KDU,-12.69,132.47
KEP,-54.28,323.51
KEV,69.76,27.01
KGD,49.82,73.08
KHB,47.61,134.69
KHS,71.16,66.83
KIL,69.06,20.77
KIR,67.84,20.42
KIV,50.72,30.30
KLD,54.50,20.20
KLI,60.86,39.52
KMH,-26.54,18.11
KNY,31.42,130.88
KNZ,55.83,48.85
KOR,7.33,134.50
KOT,66.88,197.40
KOU,5.21,307.27
KPG,-10.20,123.40
KRT,15.33,32.32
KTB,-0.20,100.32
KTN,75.94,137.71
KUJ,33.06,131.23
KUV,74.57,302.82
KVI,59.50,17.63
KZN,55.93,48.74
LAG,6.48,3.27
LAN,54.01,357.23
LCL,51.00,252.90
LEK,68.13,13.54
LEM,-42.30,147.50
LER,60.13,358.82
LET,49.64,247.13
LGZ,13.10,123.74
LIV,-62.66,299.61
LKW,6.30,99.78
LMM,-25.92,32.58
LNN,59.95,30.70
LNP,25.00,121.17
LON,45.41,16.66
LOP,68.25,33.08
LOV,59.35,17.83
LOZ,67.97,35.02
LRM,-21.00,115.00
LRV,64.18,338.30
LSK,-15.23,28.19
LVV,49.90,23.75
LWA,-5.02,104.06
LYC,64.61,18.75
LYR,78.20,15.83
LZH,36.09,103.85
M01,46.87,263.55
M02,45.56,266.75
M03,43.60,264.40
M04,41.36,263.84
M05,38.50,263.70
M06,35.00,262.60
M07,32.98,263.25
M08,29.44,261.39
M09,26.40,262.20
M10,24.80,260.40
M11,20.70,256.90
MAB,50.30,5.68
MAS,69.46,23.70
MAW,-67.61,62.88
MBC,76.32,240.64
MBO,14.38,343.03
MCE,72.40,326.10
MCG,72.60,321.65
MCM,-77.85,166.67
MCN,73.93,322.38
MCQ,-54.50,158.95
MCR,66.48,313.71
MCW,72.00,317.41
MEA,54.62,246.65
MEK,62.77,30.97
MGD,59.97,150.86
MHV,54.94,37.73
MID,28.21,182.62
